date,currency,impact,description,actual,forecast,previous,revisedFrom,eventId,
2008-01-03 01:01:00,USD,L,Total Vehicle Sales [All Day],16.2M,16.0M,16.2M,,6583,
2008-01-03 05:00:00,EUR,L,Spanish Unemployment Change,35.1K,,45.9K,,43980,
2008-01-03 05:30:00,CHF,M,Manufacturing PMI,61.3,61.5,63.4,,6576,
2008-01-03 05:55:00,EUR,M,German Unemployment Change,-70K,-69K,-52K,,6577,
2008-01-03 06:00:00,EUR,L,M3 Money Supply y/y,12.30%,12.30%,12.30%,,6578,
2008-01-03 06:00:00,EUR,L,Private Loans y/y,11.00%,11.20%,11.20%,,11261,
2008-01-03 06:30:00,GBP,L,Construction PMI,56,53.8,54.3,,6579,
2008-01-03 06:30:00,GBP,M,BOE Credit Conditions Survey,,,,,6653,
2008-01-03 07:02:00,EUR,L,French 10-y Bond Auction,4.31|2.5,,4.25|2.9,,43335,
2008-01-03 09:30:00,USD,L,Challenger Job Cuts y/y,-4.70%,,-8.80%,,8618,
2008-01-03 10:15:00,USD,H,ADP Non-Farm Employment Change,40K,45K,173K,189K,6580,
2008-01-03 10:30:00,USD,M,Unemployment Claims,336K,345K,357K,349K,6581,
2008-01-03 12:00:00,USD,M,Factory Orders m/m,1.50%,0.50%,0.70%,0.50%,6582,
2008-01-03 12:30:00,USD,L,Crude Oil Inventories,-4.0M,-2.3M,-3.3M,,6566,
2008-01-03 19:30:00,AUD,L,AIG Services Index,56.9,,56.4,,6584,
2008-01-04 03:45:00,CHF,H,CPI m/m,0.20%,0.10%,0.50%,,6585,
2008-01-04 05:15:00,EUR,L,Spanish Services PMI,51,,50.7,,43897,
2008-01-04 05:45:00,EUR,L,Italian Services PMI,49.7,50.7,50.8,,43515,
2008-01-04 06:00:00,EUR,L,Final Services PMI,53.1,53.2,53.2,,6587,
2008-01-04 06:30:00,GBP,L,Mortgage Approvals,83K,84K,89K,88K,6591,
2008-01-04 06:30:00,GBP,L,Net Lending to Individuals m/m,8.9B,8.2B,9.0B,8.8B,6590,
2008-01-04 06:30:00,GBP,M,Final Services PMI,52.4,51.6,51.9,,6588,
2008-01-04 07:00:00,EUR,L,Italian Prelim CPI m/m,0.30%,0.30%,0.40%,,6593,
2008-01-04 07:00:00,EUR,M,CPI Flash Estimate y/y,3.10%,3.10%,3.10%,3.00%,6592,
2008-01-04 10:30:00,CAD,L,IPPI m/m,0.60%,0.30%,-1.20%,-1.10%,6597,
2008-01-04 10:30:00,CAD,M,RMPI m/m,3.40%,0.80%,0.70%,0.30%,6598,
2008-01-04 10:30:00,USD,H,Non-Farm Employment Change,18K,70K,115K,94K,6594,
2008-01-04 10:30:00,USD,H,Unemployment Rate,5.00%,4.80%,4.70%,,6595,
2008-01-04 10:30:00,USD,M,Average Hourly Earnings m/m,0.40%,0.30%,0.40%,0.50%,6596,
2008-01-04 12:00:00,CAD,H,Ivey PMI,45.9,51.5,58.7,,6601,
2008-01-04 12:00:00,USD,H,ISM Non-Manufacturing PMI,53.9,53.5,54.1,,6599,
2008-01-04 12:30:00,USD,L,Natural Gas Storage,-87B,-110B,-165B,,8242,
2008-01-04 13:15:00,USD,M,FOMC Member Kohn Speaks,,,,,6606,
2008-01-05 13:15:00,USD,M,FOMC Member Kohn Speaks,,,,,6654,
2008-01-06 18:45:00,NZD,H,Trade Balance,-646M,-473M,-717M,-690M,6607,
2008-01-06 20:50:00,JPY,L,Monetary Base y/y,0.40%,0.70%,1.00%,,6609,
2008-01-07 03:45:00,CHF,L,Unemployment Rate,2.60%,2.60%,2.60%,,6610,
2008-01-07 05:00:00,CHF,L,Foreign Currency Reserves,50B,,49B,,42175,
2008-01-07 06:30:00,EUR,L,Sentix Investor Confidence,8.2,10.5,11.9,,6611,
2008-01-07 07:00:00,EUR,L,Consumer Confidence,-9,-8,-8,,6613,
2008-01-07 07:00:00,EUR,L,PPI m/m,0.80%,0.70%,0.70%,0.60%,6612,
2008-01-07 07:00:00,EUR,L,Unemployment Rate,7.20%,7.20%,7.20%,,6614,
2008-01-07 09:00:00,EUR,M,ECB President Trichet Speaks,,,,,6731,
2008-01-07 16:00:00,USD,L,Treasury Sec Paulson Speaks,,,,,6667,
2008-01-07 19:30:00,AUD,L,AIG Construction Index,59.2,,53.2,,6608,
2008-01-07 21:01:00,GBP,M,BRC Retail Sales Monitor y/y,0.30%,,1.20%,,6617,
2008-01-07 21:30:00,AUD,H,Building Approvals m/m,8.90%,0.00%,-3.60%,-2.80%,6615,
2008-01-08 05:00:00,GBP,H,Halifax HPI m/m,1.30%,-0.50%,-1.10%,,6732,
2008-01-08 07:00:00,EUR,L,Retail Sales m/m,-0.50%,0.40%,-0.70%,,6616,
2008-01-08 08:00:00,EUR,M,German Factory Orders m/m,3.40%,-1.60%,4.00%,,6618,
2008-01-08 09:30:00,USD,L,NFIB Small Business Index,94.6,,94.4,,48350,
2008-01-08 10:20:00,USD,M,FOMC Member Plosser Speaks,,,,,6733,
2008-01-08 12:00:00,USD,H,Pending Home Sales m/m,-2.60%,-0.70%,3.70%,0.60%,6619,
2008-01-08 12:00:00,USD,L,IBD/TIPP Economic Optimism,43.2,43.1,44.4,,9942,
2008-01-08 14:05:00,CAD,L,Gov Council Member Kennedy Speaks,,,,,6665,
2008-01-08 17:00:00,USD,L,Consumer Credit m/m,15.4B,7.5B,2.0B,4.7B,6620,
2008-01-08 21:01:00,GBP,L,Nationwide Consumer Confidence,85,85,86,,6621,
2008-01-08 21:30:00,AUD,H,Retail Sales m/m,0.80%,0.50%,0.30%,0.20%,6622,
2008-01-08 23:00:00,NZD,L,ANZ Commodity Prices m/m,0.00%,,0.80%,,6623,
2008-01-09 00:45:00,JPY,L,10-y Bond Auction,1.44|2.5,,1.48|3.2,,48986,
2008-01-09 04:00:00,EUR,L,German Trade Balance,19.8B,17.0B,18.3B,18.2B,6624,
2008-01-09 04:00:00,EUR,M,German Retail Sales m/m,-1.30%,1.00%,-2.30%,-3.30%,6658,
2008-01-09 04:45:00,EUR,L,French Trade Balance,-4.8B,-3.6B,-3.6B,,6625,
2008-01-09 07:00:00,EUR,L,Final GDP q/q,0.80%,0.70%,0.70%,,21667,
2008-01-09 07:35:00,GBP,L,BRC Shop Price Index y/y,1.00%,,1.10%,,6627,
2008-01-09 08:00:00,EUR,M,German Industrial Production m/m,-0.90%,0.30%,0.10%,-0.30%,6628,
2008-01-09 10:15:00,CAD,H,Housing Starts,188K,220K,233K,228K,6629,
2008-01-09 12:30:00,GBP,L,CB Leading Index m/m,-0.30%,,0.10%,0.20%,6630,
2008-01-09 12:30:00,USD,L,Crude Oil Inventories,-6.7M,-2.1M,-4.0M,,6640,
2008-01-09 21:30:00,AUD,H,Trade Balance,-2.25B,-2.54B,-2.86B,-2.98B,6631,
2008-01-10 02:00:00,JPY,L,Leading Indicators,10.00%,10.00%,18.20%,20.00%,6632,
2008-01-10 04:45:00,EUR,L,French Gov Budget Balance,-54.7B,,-52.2B,,6634,
2008-01-10 04:45:00,EUR,M,French Industrial Production m/m,-1.50%,-0.50%,2.10%,,6633,
2008-01-10 06:30:00,GBP,M,Goods Trade Balance,-7.4B,-7.2B,-7.4B,-7.1B,6635,
2008-01-10 09:00:00,GBP,H,Official Bank Rate,5.50%,5.50%,5.50%,,6636,
2008-01-10 09:45:00,EUR,M,Main Refinancing Rate,4.00%,4.00%,4.00%,,6637,
2008-01-10 10:30:00,CAD,L,NHPI m/m,0.50%,0.20%,0.10%,,6642,
2008-01-10 10:30:00,CAD,M,Building Permits m/m,-9.90%,-1.90%,7.30%,6.80%,6641,
2008-01-10 10:30:00,EUR,H,ECB Press Conference,,,,,6638,
2008-01-10 10:30:00,USD,M,Unemployment Claims,322K,340K,337K,336K,6639,
2008-01-10 12:00:00,USD,L,Final Wholesale Inventories m/m,0.60%,0.40%,0.00%,,6643,
2008-01-10 12:00:00,USD,L,JOLTS Job Openings,4.02M,,4.06M,4.12M,49281,
2008-01-10 12:30:00,USD,L,Natural Gas Storage,-171B,-163B,-87B,,8241,
2008-01-10 14:16:00,USD,H,Fed Chairman Bernanke Speaks,,,,,6655,
2008-01-10 20:50:00,JPY,L,Bank Lending y/y,0.10%,,0.60%,,11971,
2008-01-10 20:50:00,JPY,L,M2 Money Stock y/y,2.10%,2.00%,2.00%,,6644,
2008-01-10 23:00:00,CNY,L,M2 Money Supply y/y,16.70%,18.20%,18.50%,,24248,
2008-01-10 23:00:00,CNY,M,New Loans,49B,,87B,,24343,
2008-01-11 01:00:00,CNY,H,USD-Denominated Trade Balance,22.7B,24.4B,26.3B,,18381,
2008-01-11 02:00:00,JPY,L,Economy Watchers Sentiment,36.6,39,38.8,,6650,
2008-01-11 04:00:00,EUR,L,German WPI m/m,-0.50%,0.50%,1.00%,,6659,
2008-01-11 06:30:00,GBP,H,Manufacturing Production m/m,-0.10%,0.10%,0.30%,,6652,
2008-01-11 06:30:00,GBP,L,Industrial Production m/m,-0.10%,0.10%,0.50%,0.40%,6651,
2008-01-11 09:00:00,CAD,H,Employment Change,-18.7K,15.0K,42.6K,,6648,
2008-01-11 09:00:00,CAD,H,Unemployment Rate,5.90%,5.90%,5.90%,,6649,
2008-01-11 10:30:00,CAD,H,Trade Balance,3.7B,3.2B,3.1B,3.3B,6647,
2008-01-11 10:30:00,USD,H,Trade Balance,-63.1B,-59.5B,-57.8B,,6645,
2008-01-11 10:30:00,USD,M,Import Prices m/m,0.00%,0.00%,3.30%,2.70%,6646,
2008-01-11 14:45:00,USD,M,FOMC Member Mishkin Speaks,,,,,6656,
2008-01-11 16:00:00,USD,M,Federal Budget Balance,48.3B,50.0B,-98.2B,,10906,
2008-01-11 21:01:00,GBP,L,NIESR GDP Estimate,0.50%,,0.50%,0.60%,9919,
2008-01-12 14:00:00,EUR,M,ECB President Trichet Speaks,,,,,6663,
2008-01-13 01:01:00,JPY,N,Bank Holiday [All Day],,,,,6664,
2008-01-13 18:45:00,NZD,M,Building Consents m/m,-0.10%,,-4.60%,-4.80%,6716,
2008-01-13 20:30:00,AUD,L,MI Inflation Gauge m/m,0.60%,,0.30%,,6717,
2008-01-13 21:30:00,AUD,M,ANZ Job Advertisements m/m,7.10%,,0.70%,,19250,
2008-01-14 06:00:00,EUR,L,Italian Industrial Production m/m,-0.90%,0.30%,-0.60%,-0.30%,6718,
2008-01-14 06:30:00,GBP,H,PPI Input m/m,0.50%,0.80%,2.00%,1.70%,6719,
2008-01-14 06:30:00,GBP,L,ONS HPI y/y,9.50%,10.50%,11.30%,,9326,
2008-01-14 06:30:00,GBP,L,PPI Output m/m,0.50%,0.30%,0.60%,0.50%,6720,
2008-01-14 07:00:00,EUR,M,Industrial Production m/m,-0.50%,-0.70%,0.50%,0.40%,6721,
2008-01-14 10:30:00,CAD,L,New Motor Vehicle Sales m/m,-2.90%,-0.90%,-1.90%,-1.40%,6722,
2008-01-14 12:30:00,CAD,H,BOC Business Outlook Survey,,,,,6723,
2008-01-14 18:05:00,NZD,H,NZIER Business Confidence,-26,,-27,,6724,
2008-01-15 04:45:00,EUR,L,French Final CPI m/m,0.40%,0.30%,0.50%,,6737,
2008-01-15 06:30:00,GBP,H,CPI y/y,2.10%,2.00%,2.10%,,6726,
2008-01-15 06:30:00,GBP,L,RPI y/y,4.00%,4.00%,4.30%,,6728,
2008-01-15 06:30:00,GBP,M,Core CPI y/y,1.40%,1.50%,1.40%,,6727,
2008-01-15 07:00:00,EUR,L,ZEW Economic Sentiment,-41.7,-37.8,-35.7,,6730,
2008-01-15 07:00:00,EUR,M,German ZEW Economic Sentiment,-41.6,-40,-37.2,,6729,
2008-01-15 10:30:00,USD,H,Core Retail Sales m/m,-0.40%,-0.10%,1.70%,1.80%,6712,
2008-01-15 10:30:00,USD,H,PPI m/m,-0.10%,0.20%,3.20%,,6713,
2008-01-15 10:30:00,USD,H,Retail Sales m/m,-0.40%,0.00%,1.00%,1.20%,6711,
2008-01-15 10:30:00,USD,M,Core PPI m/m,0.20%,0.20%,0.40%,,6714,
2008-01-15 10:30:00,USD,M,Empire State Manufacturing Index,9,10.1,10.3,,6715,
2008-01-15 12:00:00,USD,M,Business Inventories m/m,0.40%,0.40%,0.10%,,6669,
2008-01-15 14:00:00,CHF,M,Gov Board Member Jordan Speaks,,,,,6748,
2008-01-15 20:30:00,AUD,M,Westpac Consumer Sentiment,-8.30%,,1.80%,,6670,
2008-01-15 20:50:00,JPY,L,Current Account,2.16T,1.87T,2.56T,,6673,
2008-01-15 20:50:00,JPY,L,PPI y/y,2.60%,2.30%,2.30%,,6672,
2008-01-15 20:50:00,JPY,M,Core Machinery Orders m/m,-2.80%,-4.30%,12.70%,,6671,
2008-01-15 21:01:00,GBP,M,RICS House Price Balance,-49%,-45%,-41%,,6794,
2008-01-15 21:30:00,AUD,M,Home Loans m/m,4.00%,0.90%,-0.50%,-0.70%,6674,
2008-01-16 03:00:00,JPY,L,Prelim Machine Tool Orders y/y,3.30%,,13.00%,,6675,
2008-01-16 04:00:00,EUR,L,German Final CPI m/m,0.50%,0.50%,0.50%,,6738,
2008-01-16 06:30:00,GBP,H,Average Earnings Index 3m/y,4.00%,3.90%,4.00%,,6676,
2008-01-16 06:30:00,GBP,L,Unemployment Rate,5.30%,5.30%,5.30%,,6678,
2008-01-16 06:30:00,GBP,M,Claimant Count Change,-6.4K,-5.0K,-10.0K,-11.1K,6677,
2008-01-16 07:00:00,EUR,M,Final Core CPI y/y,1.90%,1.90%,1.90%,,9516,
2008-01-16 07:00:00,EUR,M,Final CPI y/y,3.10%,3.10%,3.10%,,6679,
2008-01-16 10:30:00,USD,H,Core CPI m/m,0.20%,0.20%,0.30%,,6681,
2008-01-16 10:30:00,USD,M,CPI m/m,0.30%,0.20%,0.80%,,6680,
2008-01-16 11:00:00,USD,H,TIC Long-Term Purchases,90.9B,70.0B,114.0B,,6682,
2008-01-16 11:15:00,USD,M,Capacity Utilization Rate,81.40%,81.20%,81.60%,81.50%,6684,
2008-01-16 11:15:00,USD,M,Industrial Production m/m,0.00%,-0.10%,0.30%,,6683,
2008-01-16 12:30:00,USD,L,Crude Oil Inventories,4.3M,1.3M,-6.7M,,6708,
2008-01-16 15:00:00,USD,L,NAHB Housing Market Index,19,19,18,19,6686,
2008-01-16 15:55:00,EUR,M,ECB President Trichet Speaks,,,,,6743,
2008-01-16 16:00:00,USD,M,Beige Book,,,,,6687,
2008-01-16 18:30:00,AUD,L,MI Inflation Expectations,4.40%,,4.10%,,10312,
2008-01-16 18:45:00,NZD,H,CPI q/q,1.20%,1.00%,0.50%,,6688,
2008-01-16 18:45:00,NZD,L,FPI m/m,0.90%,,0.40%,,6689,
2008-01-16 21:30:00,AUD,H,Employment Change,20.1K,20.0K,47.6K,52.6K,6691,
2008-01-16 21:30:00,AUD,M,Unemployment Rate,4.30%,4.40%,4.50%,,6692,
2008-01-17 01:30:00,JPY,L,Revised Industrial Production m/m,-1.60%,-1.60%,-1.60%,,6693,
2008-01-17 06:00:00,EUR,M,ECB Monthly Bulletin,,,,,6694,
2008-01-17 07:00:00,CHF,M,Credit Suisse Economic Expectations,-32.7,,-29.7,,6739,
2008-01-17 07:00:00,EUR,L,Trade Balance,2.7B,3.8B,3.0B,4.0B,6690,
2008-01-17 10:00:00,GBP,M,MPC Member Gieve Speaks,,,,,6746,
2008-01-17 10:15:00,USD,M,FOMC Member Pianalto Speaks,,,,,6741,
2008-01-17 10:30:00,CAD,M,Foreign Securities Purchases,-4.84B,1.56B,-24.25B,-24.32B,6698,
2008-01-17 10:30:00,USD,H,Building Permits,1.07M,1.14M,1.16M,1.15M,6696,
2008-01-17 10:30:00,USD,M,Housing Starts,1.01M,1.15M,1.17M,1.19M,6695,
2008-01-17 10:30:00,USD,M,Unemployment Claims,301K,330K,322K,,6697,
2008-01-17 11:00:00,EUR,M,ECB President Trichet Speaks,,,,,6744,
2008-01-17 12:00:00,USD,H,Fed Chairman Bernanke Testifies,,,,,6740,
2008-01-17 12:00:00,USD,M,Philly Fed Manufacturing Index,-20.9,-1,-5.7,,6699,
2008-01-17 12:30:00,USD,L,Natural Gas Storage,-59B,-60B,-171B,,8240,
2008-01-17 14:30:00,USD,M,FOMC Member Fisher Speaks,,,,,6742,
2008-01-17 18:45:00,NZD,H,Core Retail Sales m/m,0.90%,0.70%,-1.00%,-1.10%,6701,
2008-01-17 18:45:00,NZD,H,Retail Sales m/m,2.00%,0.70%,-0.60%,-0.70%,6700,
2008-01-17 20:50:00,JPY,M,Tertiary Industry Activity m/m,0.10%,-0.40%,1.20%,1.10%,6702,
2008-01-17 21:30:00,AUD,L,Import Prices q/q,0.20%,-0.10%,-0.80%,,6703,
2008-01-17 21:30:00,AUD,L,RBA Bulletin,,,,,11001,
2008-01-18 00:45:00,JPY,L,30-y Bond Auction,2.30|3.8,,2.49|3.8,,49062,
2008-01-18 02:00:00,JPY,L,Consumer Confidence,38,38.5,39.8,,6704,
2008-01-18 06:30:00,GBP,H,Retail Sales m/m,-0.40%,0.20%,0.40%,,6705,
2008-01-18 07:00:00,EUR,L,Italian Trade Balance,-0.05B,-0.43B,0.46B,0.39B,6706,
2008-01-18 10:20:00,AUD,H,RBA Gov Stevens Speaks,,,,,6747,
2008-01-18 10:30:00,CAD,M,Manufacturing Sales m/m,1.10%,0.50%,0.00%,0.10%,6707,
2008-01-18 12:00:00,USD,H,Prelim UoM Consumer Sentiment,80.5,74.8,75.5,74.5,6709,
2008-01-18 12:00:00,USD,L,CB Leading Index m/m,-0.20%,-0.10%,-0.40%,,6710,
2008-01-18 12:00:00,USD,L,Prelim UoM Inflation Expectations,3.40%,,3.40%,3.50%,9962,
2008-01-18 12:30:00,EUR,M,ECB President Trichet Speaks,,,,,6745,
2008-01-20 21:01:00,GBP,M,Rightmove HPI m/m,-0.80%,,-3.20%,,6750,
2008-01-20 21:30:00,AUD,H,PPI q/q,0.60%,1.10%,1.10%,,6751,
2008-01-21 01:01:00,EUR,L,Eurogroup Meetings [All Day],,,,,44050,
2008-01-21 01:01:00,USD,N,Bank Holiday [All Day],,,,,6749,
2008-01-21 01:05:00,CNY,L,Foreign Direct Investment ytd/y,13.60%,,13.70%,,19294,
2008-01-21 04:00:00,EUR,M,German PPI m/m,-0.10%,0.30%,0.80%,,6752,
2008-01-21 05:15:00,CHF,M,PPI m/m,-0.10%,0.20%,0.30%,,6753,
2008-01-21 06:30:00,GBP,L,M4 Money Supply m/m,1.50%,0.50%,0.40%,0.10%,6754,
2008-01-21 06:30:00,GBP,L,Public Sector Net Borrowing,7.8B,7.0B,11.4B,11.2B,6755,
2008-01-21 08:00:00,EUR,M,German Buba Monthly Report,,,,,50135,
2008-01-21 10:30:00,CAD,M,Wholesale Sales m/m,0.30%,0.50%,0.40%,0.50%,6796,
2008-01-21 21:30:00,AUD,L,New Motor Vehicle Sales m/m,1.10%,,1.50%,1.10%,6757,
2008-01-22 00:19:00,JPY,M,Overnight Call Rate,0.50%,0.50%,0.50%,,6758,
2008-01-22 01:01:00,EUR,L,ECOFIN Meetings [All Day],,,,,36339,
2008-01-22 03:00:00,JPY,L,BOJ Monthly Report,,,,,6801,
2008-01-22 04:16:00,JPY,H,BOJ Press Conference,,,,,6759,
2008-01-22 05:15:00,CHF,H,Retail Sales y/y,2.90%,3.90%,6.10%,,6760,
2008-01-22 08:00:00,GBP,M,CBI Industrial Order Expectations,2,-3,2,,6800,
2008-01-22 10:00:00,USD,L,Treasury Sec Paulson Speaks,,,,,6806,
2008-01-22 10:20:00,USD,H,Federal Funds Rate,3.50%,,4.25%,,6867,
2008-01-22 10:20:00,USD,H,FOMC Statement,,,,,7824,
2008-01-22 10:30:00,CAD,H,Core Retail Sales m/m,1.70%,0.40%,0.10%,0.00%,6762,
2008-01-22 10:30:00,CAD,M,Retail Sales m/m,0.70%,0.20%,0.30%,0.10%,6761,
2008-01-22 11:00:00,CAD,H,BOC Rate Statement,,,,,7975,
2008-01-22 11:00:00,CAD,H,Overnight Rate,4.00%,4.00%,4.25%,,6763,
2008-01-22 12:00:00,USD,L,Richmond Manufacturing Index,-8,-3,-4,,6764,
2008-01-22 16:40:00,USD,L,President Bush Speaks,,,,,6868,
2008-01-22 17:10:00,GBP,H,BOE Gov King Speaks,,,,,6795,
2008-01-22 20:30:00,AUD,L,MI Leading Index m/m,1.00%,,0.50%,,6765,
2008-01-22 21:30:00,AUD,H,CPI q/q,0.90%,1.00%,0.70%,,6766,
2008-01-22 21:30:00,AUD,M,Trimmed Mean CPI q/q,1.00%,0.80%,0.90%,,6767,
2008-01-23 01:01:00,All,M,WEF Annual Meetings [Day 1],,,,,15597,
2008-01-23 04:45:00,EUR,M,French Consumer Spending m/m,2.00%,0.70%,0.10%,-0.10%,6768,
2008-01-23 05:00:00,EUR,M,ECB President Trichet Speaks,,,,,6805,
2008-01-23 06:00:00,EUR,L,Flash Services PMI,52,52.8,53.1,53.2,6798,
2008-01-23 06:00:00,EUR,M,Flash Manufacturing PMI,52.6,52,52.6,52.5,6797,
2008-01-23 06:30:00,GBP,H,MPC Official Bank Rate Votes,0-1-8,0-1-8,0-9-0,,6770,
2008-01-23 06:30:00,GBP,H,Prelim GDP q/q,0.60%,0.50%,0.70%,0.80%,6769,
2008-01-23 06:30:00,GBP,L,Index of Services 3m/3m,0.60%,0.60%,0.60%,0.70%,6771,
2008-01-23 07:00:00,EUR,M,Industrial New Orders m/m,2.70%,1.10%,2.50%,,6772,
2008-01-23 07:09:00,EUR,L,German 30-y Bond Auction,4.45|2.1,,4.52|2.5,,43185,
2008-01-23 10:30:00,CAD,L,Leading Index m/m,-0.10%,0.00%,0.00%,,6773,
2008-01-23 17:00:00,NZD,H,Official Cash Rate,8.25%,8.25%,8.25%,,6790,
2008-01-23 17:00:00,NZD,H,RBNZ Rate Statement,,,,,7991,
2008-01-23 20:00:00,NZD,L,BusinessNZ Manufacturing Index,53.8,,56.7,57.2,6791,
2008-01-23 20:50:00,JPY,L,All Industries Activity m/m,-0.50%,-0.40%,1.20%,,6793,
2008-01-23 20:50:00,JPY,L,Trade Balance,0.64T,0.70T,0.83T,0.89T,6792,
2008-01-23 23:00:00,CNY,H,GDP q/y,11.20%,11.30%,11.50%,,18421,
2008-01-23 23:00:00,CNY,L,Retail Sales y/y,20.20%,18.70%,18.80%,,23249,
2008-01-23 23:00:00,CNY,M,CPI y/y,6.50%,6.50%,6.90%,,18521,
2008-01-23 23:00:00,CNY,M,Fixed Asset Investment ytd/y,25.80%,26.40%,26.80%,,19738,
2008-01-23 23:00:00,CNY,M,Industrial Production y/y,17.40%,17.20%,17.30%,,18450,
2008-01-23 23:00:00,CNY,M,NBS Press Conference,,,,,23229,
2008-01-23 23:00:00,CNY,M,PPI y/y,5.40%,4.80%,4.60%,,18569,
2008-01-23 23:00:00,NZD,L,Credit Card Spending y/y,7.60%,,9.50%,,6799,
2008-01-24 01:01:00,All,M,WEF Annual Meetings [Day 2],,,,,15598,
2008-01-24 06:00:00,EUR,H,German ifo Business Climate,103.4,102.3,103,,6780,
2008-01-24 06:30:00,GBP,M,High Street Lending,42.1K,,43.9K,44.8K,6782,
2008-01-24 10:30:00,USD,H,Unemployment Claims,301K,320K,302K,301K,6783,
2008-01-24 11:00:00,EUR,M,Belgian NBB Business Climate,-0.8,-2.5,-1.9,,10522,
2008-01-24 12:00:00,USD,H,Existing Home Sales,4.89M,4.95M,5.00M,,6784,
2008-01-24 12:30:00,CAD,H,BOC Monetary Policy Report,,,,,6785,
2008-01-24 12:30:00,USD,L,Crude Oil Inventories,2.3M,1.5M,4.3M,,6774,
2008-01-24 12:30:00,USD,L,Natural Gas Storage,-155B,-159B,-59B,,8239,
2008-01-24 13:15:00,CAD,H,BOC Press Conference,,,,,6866,
2008-01-24 13:20:00,USD,L,Treasury Sec Paulson Speaks,,,,,6802,
2008-01-24 13:35:00,EUR,H,ECB President Trichet Speaks,,,,,6803,
2008-01-24 20:00:00,AUD,L,CB Leading Index m/m,0.80%,,1.10%,0.90%,6786,
2008-01-24 20:30:00,JPY,L,National Core CPI y/y,0.80%,0.60%,0.40%,,6787,
2008-01-24 20:30:00,JPY,M,Tokyo Core CPI y/y,0.40%,0.30%,0.30%,,6870,
2008-01-24 20:30:00,NZD,M,RBNZ Gov Bollard Speaks,,,,,8435,
2008-01-24 20:50:00,JPY,M,Monetary Policy Meeting Minutes,,,,,6789,
2008-01-25 01:01:00,All,M,WEF Annual Meetings [Day 3],,,,,15599,
2008-01-25 04:00:00,EUR,L,German GfK Consumer Climate,4.5,4.3,4.5,,6775,
2008-01-25 04:00:00,EUR,L,German Import Prices m/m,-0.10%,0.00%,0.70%,,6807,
2008-01-25 05:00:00,EUR,L,Spanish Unemployment Rate,8.60%,8.30%,8.00%,,43865,
2008-01-25 06:00:00,EUR,L,Italian Retail Sales m/m,-0.30%,0.10%,0.40%,,6776,
2008-01-25 09:00:00,CAD,H,Core CPI m/m,-0.30%,-0.10%,0.00%,,6779,
2008-01-25 09:00:00,CAD,M,CPI m/m,0.10%,0.10%,0.30%,,6778,
2008-01-26 01:01:00,All,M,WEF Annual Meetings [Day 4],,,,,15600,
2008-01-27 01:01:00,All,M,WEF Annual Meetings [Day 5],,,,,15601,
2008-01-27 01:01:00,AUD,N,Bank Holiday [All Day],,,,,12127,
2008-01-27 20:50:00,JPY,L,SPPI y/y,1.40%,1.40%,1.40%,,6808,
2008-01-28 06:00:00,EUR,L,M3 Money Supply y/y,11.50%,12.30%,12.30%,,6809,
2008-01-28 06:00:00,EUR,L,Private Loans y/y,11.10%,11.30%,11.10%,11.00%,11260,
2008-01-28 12:00:00,USD,H,New Home Sales,604K,645K,634K,647K,6810,
